1,2,3,4,5,6,7,8,9,10
12,2884.2,4618.5,2.5772,-0.11338,294.76,52.456,83.18,0,0.46926
12.5,2824.1,4480.2,2.6011,-0.301,294.87,52.698,82.957,0,-4.7516
13,2836.2,4233.3,2.6251,-0.4885,294.99,52.941,82.735,0,17.768
13.5,2867.6,3986.6,2.6654,-0.45818,294.96,53.409,82.679,0,1.5545
14,2865.5,3629.8,2.7057,-0.42786,294.92,53.877,82.619,0,-14.85
14.5,2857,3273.3,2.6501,-0.37339,294.75,54.713,74.987,0,266.07
15,2844.8,2796.4,2.5945,-0.31892,294.57,55.549,67.364,0,564.99
12,2605.5,2822,0.013957,-1.321,296.22,47.263,92.794,0,294.61
12.5,2610.3,2724.8,-0.056993,-1.3254,296.25,47.501,93.496,0,873.6
13,2588.2,2486.8,-0.12794,-1.3297,296.28,47.739,94.198,0,813.48
13.5,2585.7,2248.9,-0.19659,-1.2826,296.18,47.917,93.676,0,741.52
14,2561.5,1992.3,-0.26526,-1.2354,296.08,48.096,93.156,0,401.46
14.5,2591.9,1735.6,-0.38579,-1.1204,295.88,49.026,94.283,0,-27.854
15,2617.4,1477.6,-0.50625,-1.0054,295.67,49.956,95.409,0,-10.778
12,3692.5,3662.3,0.2242,-2.1676,297.19,54.674,22.973,0,41.196
12.5,3548,3606.3,0.20689,-2.2254,297.05,54.476,28.866,0,-18.864
13,3663,3442.6,0.18954,-2.2833,296.91,54.278,34.753,0,-11.065
13.5,3796.5,3279.4,0.098294,-2.2806,296.69,54.087,27.956,0,379.19
14,3814.2,2979.7,0.0069787,-2.2779,296.46,53.895,21.164,0,557.48
14.5,3817.8,2679.9,-0.19949,-2.2411,296.2,54.312,23.288,0,454.2
15,3797.6,2314.3,-0.40588,-2.2042,295.94,54.729,25.413,0,462.37
12,3919.1,3698.8,1.604,-0.39582,299.77,49.169,76.744,0,401.73
12.5,3750.4,3642,1.514,-0.52011,299.82,49.333,78.553,0,281.24
13,3861.1,3461.9,1.4239,-0.64436,299.86,49.496,80.359,0,151.43
13.5,4016.7,3282,1.269,-0.70428,299.81,50.075,79.821,0,360.11
14,4084.9,3021,1.1141,-0.76426,299.75,50.655,79.281,0,738.54
14.5,4098.7,2759.9,1.056,-0.95646,299.59,51.321,76.87,0,903.67
15,4055.8,2345.1,0.99781,-1.1486,299.43,51.988,74.461,0,634.16
12,3941.1,3578.6,3.2168,0.078785,299.44,57.615,56.686,0,422.02
12.5,3792.2,3546.8,3.299,0.017985,299.41,57.871,50.703,0,182.42
13,3929.6,3397.4,3.3812,-0.042787,299.38,58.127,44.714,0,411.73
13.5,4078,3247.9,3.3376,-0.053039,299.31,58.46,26.61,0,616.11
14,4087.5,3044.2,3.294,-0.063295,299.24,58.794,8.5158,0,828.05
14.5,4088.5,2840.5,3.2836,-0.080773,299,59.401,7.7086,0,907.65
15,4040.9,2503.5,3.2732,-0.098137,298.77,60.008,6.9013,0,894.13
12,3808.7,3770.5,1.734,-1.2077,296.58,64.326,75.108,0,303.19
12.5,3663.1,3762.2,1.5371,-1.2954,296.74,63.504,72.326,0,157.96
13,3784.1,3621.3,1.3401,-1.3831,296.91,62.681,69.543,0,223.51
13.5,3898.3,3480.8,1.0968,-1.4661,296.99,62.214,64.959,0,677.95
14,3935.5,3228.7,0.85348,-1.549,297.07,61.748,60.373,0,884.57
14.5,3933,2976.4,0.74287,-1.6012,297.03,61.758,52.242,0,834.5
15,3892.8,2610.8,0.63226,-1.6533,296.98,61.77,44.109,0,1007.2
12,3558.4,478.51,-1.4737,-0.66425,292.79,81.485,99.391,1.08,72.253
12.5,3391.6,487.44,-1.9935,-0.041276,292.66,81.39,99.529,2.026,3.9047
13,3479.8,435.39,-2.5127,0.58103,292.52,81.294,99.667,2.9719,-11.549
13.5,3595,383.34,-1.9815,-0.0025842,292.36,82.275,99.559,3.715,0.7807
14,3608.9,341.03,-1.4509,-0.5856,292.2,83.256,99.452,4.4575,0.41661
14.5,3608.2,298.72,-1.7786,-0.10821,292.16,83.816,99.65,4.0931,-12.737
15,3558.7,299.05,-2.1061,0.36886,292.11,84.374,99.848,3.7284,9.1905
12,2891.4,1740.5,0.27772,-4.152,292.46,86.552,55.58,0.55505,648.69
12.5,2822.1,1838.3,0.27361,-4.0754,292.54,85.941,54.703,0.37467,971.06
13,2846.7,1829.2,0.26946,-3.9989,292.63,85.331,53.826,0.19437,911.4
13.5,2875.7,1820.1,0.20184,-3.9206,292.64,85.274,54.858,0.15554,826.45
14,2886.7,1711.4,0.13425,-3.8423,292.65,85.217,55.887,0.11673,915.25
14.5,2863.6,1602.6,0.1224,-3.7961,292.55,85.504,54.483,0.11213,1019.3
15,2845.3,1423.7,0.11051,-3.7498,292.45,85.791,53.079,0.10753,1001.4
12,2628.3,1373.4,-0.90077,-1.404,292.67,78.28,91.019,0,555.71
12.5,2619.6,1335.3,-0.96132,-1.3143,292.72,78.427,86.35,0,516.02
13,2602.4,1336.2,-1.0218,-1.2247,292.77,78.575,81.68,1.0212e-06,445.35
13.5,2545.7,1337.2,-0.91253,-1.2711,292.84,78.704,75.525,0.0018393,322.07
14,2559.9,1230.1,-0.80327,-1.3174,292.92,78.834,69.371,0.003679,284.87
14.5,2554.6,1123,-0.6991,-1.3982,292.87,79.496,65.301,0.0082746,331.99
15,2556.9,961.06,-0.59508,-1.4789,292.82,80.158,61.234,0.012865,189.9
12,3555.6,1437,-0.39264,-0.64165,293.41,80.327,61.98,0.18944,1169.4
12.5,3409,1473.2,-0.42778,-0.73447,293.59,79.527,56.334,0.37786,1000
13,3521.7,1567.7,-0.46295,-0.82733,293.77,78.727,50.691,0.56608,1083.8
13.5,3624.4,1662.2,-0.56302,-0.9977,293.93,77.867,49.402,0.40064,1147.8
14,3641.4,1640.5,-0.66295,-1.1681,294.1,77.008,48.11,0.23523,1082.7
14.5,3659.1,1618.9,-0.51229,-1.3525,294.19,76.82,42.348,0.11758,1034.5
15,3596.4,1482.4,-0.36167,-1.5368,294.28,76.632,36.59,0,1062
12,3621.5,1658.8,1.4909,-1.1505,293.27,83.841,58.084,0.26117,43.218
12.5,3449.4,1583.5,1.4098,-1.2205,293.11,84.349,60.599,0.51071,-57.32
13,3577.9,1553.6,1.3286,-1.2904,292.94,84.856,63.109,0.76005,-32.588
13.5,3745.8,1523.8,1.1443,-1.2515,292.96,84.562,57.539,0.66033,29.851
14,3707.7,1512.1,0.96004,-1.2126,292.98,84.268,51.972,0.56063,-25.354
14.5,3720.2,1500.5,0.76983,-1.3336,292.97,84.078,48.918,0.49997,24.484
15,3698.2,1361.7,0.5797,-1.4545,292.96,83.887,45.867,0.43932,256.26
12,3582.7,2166.1,0.45591,-2.0352,293.36,71.145,42.599,0.0018387,247.78
12.5,3445.6,2128.1,0.43646,-2.1951,293.33,71.305,43.683,0.0027579,82.411
13,3547.9,2063.7,0.41695,-2.355,293.29,71.466,44.766,0.0036818,147.24
13.5,3675.9,1999.3,0.29491,-2.4401,293.21,71.782,42.475,0.013333,289.61
14,3701.4,1892,0.17289,-2.5252,293.13,72.097,40.185,0.022994,128.67
14.5,3683.4,1784.7,0.078297,-2.4666,293.02,72.189,38.953,0.051027,89.353
15,3660,1626.5,-0.016242,-2.408,292.9,72.281,37.721,0.079057,447.4
12,3698.2,4003.5,-0.18223,-2.3539,295.46,58.561,0.33905,0,29.372
12.5,3536,3981.3,-0.20356,-2.4693,295.49,58.464,0.56021,0,-29.691
13,3661.4,3818.6,-0.22494,-2.5846,295.53,58.367,0.78145,0,24.978
13.5,3769.5,3655.8,-0.33231,-2.5731,295.51,57.849,1.1405,0,356.98
14,3809.6,3371.6,-0.43967,-2.5616,295.48,57.332,1.4994,0,581.76
14.5,3796.7,3087.6,-0.54348,-2.4697,295.44,56.279,1.5913,0,701.07
15,3753.5,2711.1,-0.64731,-2.3778,295.41,55.227,1.6832,0,689.64
12,3875.6,3111.7,-0.37409,-1.1812,298.84,49.981,99.038,0,490.33
12.5,3706.6,3069,-0.41158,-1.2268,298.77,50.235,99.455,0,585.07
13,3819.4,2846.8,-0.44915,-1.2724,298.7,50.489,99.871,0,821.16
13.5,3911.3,2624.4,-0.63539,-1.2427,298.44,51.654,99.93,0,687.48
14,3918.2,2371.8,-0.8216,-1.2131,298.18,52.819,99.988,0,729.98
14.5,3895.9,2119.1,-0.95066,-1.1427,297.97,53.593,99.958,0,850.21
15,3852.3,1779.9,-1.0797,-1.0723,297.76,54.367,99.928,0,787.65
12,2968.2,2945,-1.5576,-1.5733,296.11,61.534,26.197,0.085454,817.98
12.5,2943.9,3180.5,-1.6729,-1.5586,296.76,59.041,24.348,0.043635,329.5
13,2976.8,2980.7,-1.7881,-1.5438,297.41,56.549,22.504,0.0018377,494.76
13.5,3002.1,2781.5,-1.807,-1.3058,297.7,55.746,27.094,0.00091861,987.37
14,3024.5,2514.5,-1.8259,-1.0677,297.98,54.944,31.678,0,1102.1
14.5,3000.1,2247.7,-1.6942,-0.81539,298.23,54.485,27.104,0,1074.8
15,2989.1,2068.7,-1.5624,-0.56307,298.48,54.027,22.532,0,972.78
12,2522.1,1265.7,6.4138,-0.11003,291.6,83.6,65.136,1.9835,225.71
12.5,2485.4,1100.8,6.1442,-0.07154,291.35,84.262,69.466,2.1329,210.42
13,2481.1,936.62,5.8747,-0.033243,291.11,84.923,73.794,2.2821,73.538
13.5,2462.4,772.45,5.8111,-0.33651,290.94,85.294,74.762,2.1764,-12.566
14,2446.7,664.38,5.7474,-0.63972,290.77,85.665,75.728,2.0707,-3.8269
14.5,2464,556.31,5.5097,-0.84531,290.65,85.687,73.025,1.8928,13.51
15,2459.2,548.15,5.2721,-1.0509,290.53,85.71,70.323,1.7149,-27.39
12,3398.1,2555.1,0.42869,-0.86804,292.48,69.486,49.53,0,489.58
12.5,3244.4,2487.1,0.62178,-1.0195,292.62,69.123,56.346,0,574.01
13,3354.5,2324.4,0.81482,-1.1709,292.75,68.761,63.156,0,345.15
13.5,3484.6,2161.8,0.9334,-1.3279,292.71,69.273,59.834,0,231.74
14,3509.2,1945,1.0519,-1.4848,292.66,69.785,56.514,0,40.727
14.5,3495.5,1728.3,1.0474,-1.4564,292.55,70.337,55.827,0,-14.021
15,3465.3,1575.3,1.0429,-1.428,292.44,70.889,55.136,0,3.4246
12,3670.4,3455.8,1.1989,-0.52032,297.07,53.931,17.217,0,274.14
12.5,3528.5,3454.7,1.2329,-0.51783,297.29,53.355,18.624,0,449.16
13,3644.9,3328.4,1.2668,-0.51541,297.5,52.779,20.031,0,423.83
13.5,3768.8,3202.2,1.3001,-0.63045,297.55,52.883,20.397,0,357.97
14,3787.8,2953.8,1.3334,-0.74543,297.6,52.988,20.764,0,562.97
14.5,3806.3,2705.6,1.2048,-0.75861,297.46,54.025,20.953,0,853.79
15,3768.4,2357.8,1.0762,-0.77175,297.33,55.061,21.144,0,791.45
12,3620,1644.2,1.4093,0.38184,295,72.728,45.904,0.014702,146.64
12.5,3418.6,1710.2,1.5044,0.10894,295.22,71.814,45.097,0.0082685,-72.576
13,3628.5,1620.3,1.5993,-0.16387,295.45,70.9,44.29,0.0018377,6.0097
13.5,3762,1530.5,1.5379,-0.26677,295.47,70.993,44.806,0.00091861,-11.919
14,3742.7,1402.4,1.4765,-0.36965,295.48,71.087,45.327,0,-6.3378
14.5,3784.6,1274.3,1.3898,-0.43893,295.38,71.55,56.463,0,3.9672
15,3758.6,1050.9,1.303,-0.50809,295.27,72.014,67.592,7.6593e-07,-19.767
12,3840.9,3689.3,0.85299,-2.1514,296.47,72.381,13.402,0,311.91
12.5,3664.7,3688.4,0.67143,-2.0425,296.5,71.984,12.831,0,110.43
13,3800.9,3562,0.49002,-1.9336,296.54,71.587,12.262,0,335.65
13.5,3949.1,3435.9,0.57276,-1.9777,296.48,71.864,12.457,0,934.69
14,3958.2,3168.6,0.65546,-2.0218,296.42,72.141,12.653,0,1019.2
14.5,3959.6,2901.2,0.68348,-1.964,296.24,72.809,13.182,0,934.61
15,3937.9,2542.4,0.71144,-1.9061,296.06,73.478,13.714,0,851.49
12,3925.5,3176.4,0.75241,-0.18277,300.44,53.074,52.548,0,430.7
12.5,3785.2,3182,0.6213,-0.25757,300.48,53.546,43.111,0,411.22
13,3916.7,3039.5,0.49025,-0.33228,300.53,54.018,33.681,0,849.74
13.5,4058.3,2896.8,0.47261,-0.25366,300.44,54.335,36.304,0,1040.3
14,4100.3,2575.9,0.45506,-0.17514,300.36,54.653,38.925,0,750.46
14.5,4094,2255.1,0.60466,-0.27481,300.18,55.108,40.135,0,401.02
15,4069,1916.6,0.7541,-0.37442,300,55.564,41.349,0,225.65
12,3086.3,2979.7,1.0819,-1.3522,297.77,65.217,23.965,0,1139.5
12.5,2996,3056.1,1.2151,-1.2618,297.93,64.39,22.69,0,896.46
13,3048.9,2987.5,1.3483,-1.1714,298.08,63.563,21.415,0,693.93
13.5,3091.6,2919,1.446,-1.1113,298.12,62.955,20.105,0,512.74
14,3078.8,2715.5,1.5436,-1.0513,298.16,62.347,18.797,0,638.82
14.5,3062.9,2512.3,1.5678,-1.1309,297.92,63.539,20.428,0,801.78
15,3066.6,2192.3,1.5918,-1.2105,297.67,64.73,22.06,5.1062e-07,924.54
12,2693.6,3330.2,2.4298,-1.2936,295.92,72.493,24.069,0.003676,1070.2
12.5,2687.5,3262.2,2.3606,-1.4264,295.84,72.77,27.83,0.0027568,1823.4
13,2646.1,3045.1,2.2914,-1.5592,295.75,73.047,31.591,0.0018377,1781.7
13.5,2661.7,2828,2.185,-1.6307,295.58,73.684,35.428,0.00091861,1787.4
14,2651.3,2533,2.0787,-1.7022,295.4,74.321,39.264,2.5531e-06,1926.7
14.5,2643.3,2238.1,1.9745,-1.7224,295.17,75.064,40.241,0.0045981,1742.5
15,2629.5,1917.5,1.8703,-1.7425,294.95,75.807,41.223,0.0091973,853.44
12,3574.5,2021.3,0.5632,-1.7985,294.23,77.463,47.231,0.097405,1055.7
12.5,3421.3,2089.2,0.57278,-1.7923,294.31,76.809,46.267,0.058802,1175.1
13,3561.2,2039.8,0.58241,-1.786,294.38,76.155,45.303,0.020242,1191.7
13.5,3681.3,1990.4,0.6577,-1.7028,294.34,76.237,44.465,0.058845,1192.3
14,3712.1,1808.3,0.73303,-1.6197,294.29,76.32,43.627,0.097499,1081
14.5,3716.2,1626.2,0.85517,-1.6293,294.16,76.831,44.849,0.22893,984.79
15,3689.7,1404.9,0.9773,-1.639,294.02,77.342,46.072,0.36035,758.6
12,3811.4,3419,2.3548,-0.71477,296.76,66.822,24.262,0,238.04
12.5,3643.8,3413.9,2.2565,-0.87213,296.84,66.977,24.611,0,-34.673
13,3787.6,3266.7,2.1582,-1.0295,296.92,67.131,24.96,0,37.911
13.5,3880.6,3119.6,1.9897,-1.2098,296.8,67.832,26.104,0,420.03
14,3880.5,2852.3,1.8213,-1.3901,296.68,68.534,27.246,0,730.76
14.5,3842.1,2584.8,1.6383,-1.3971,296.48,69.205,27.709,0,736.77
15,3830.9,2278.3,1.4554,-1.4041,296.29,69.877,28.17,0,686.73
12,4037.3,3758,-0.23636,-1.2091,300.53,50.624,97.343,0,578.05
12.5,3880.1,3731.6,-0.27433,-1.1882,300.52,50.882,97.323,0,581.14
13,4017.7,3525.7,-0.31232,-1.1673,300.51,51.141,97.303,0,652.52
13.5,4135.4,3319.8,-0.37694,-1.1116,300.45,51.554,97.564,0,808.29
14,4160.2,2984.9,-0.44154,-1.0559,300.39,51.967,97.826,0,835.41
14.5,4196.6,2649.9,-0.46921,-0.99852,300.31,52.316,97.613,0,617.23
15,4152.4,2279.8,-0.49692,-0.94114,300.22,52.666,97.401,0,460.01
12,3990.8,536.09,0.39267,1.4857,298.1,77.835,99.764,0.079051,46.627
12.5,3839.5,496.18,0.4902,1.3521,298.06,78.355,98.443,0.090999,-40.744
13,3974.7,451.44,0.58762,1.2185,298.03,78.874,97.122,0.10298,-17.559
13.5,4081.4,406.71,0.47576,1.2088,297.95,79.055,97.931,0.16869,67.966
14,4101.5,375.52,0.36381,1.199,297.87,79.235,98.739,0.23437,33.67
14.5,4091.2,344.34,0.094931,1.1673,297.76,79.692,97.755,0.233,-9.606
15,4029,313.04,-0.17386,1.1356,297.65,80.15,96.771,0.23166,10.881
12,3827.3,572.04,2.6231,0.44693,295.44,93.158,75.764,2.918,47.823
12.5,3654.6,544.42,2.5623,0.41109,295.38,93.173,74.974,2.4924,-21.93
13,3755.5,598.5,2.5016,0.37525,295.33,93.188,74.184,2.0669,-18.839
13.5,3867.7,652.59,2.4497,0.35001,295.37,92.8,72.801,1.6625,-22.015
14,3911.7,619.39,2.3977,0.32477,295.41,92.411,71.415,1.2582,-0.033906
14.5,3915.2,586.18,2.1966,0.30315,295.39,92.468,65.173,1.1465,10.099
15,3870,706.74,1.9956,0.28152,295.37,92.525,58.935,1.0349,-5.7018
12,3256.2,517.89,0.8803,-0.37531,296.05,91.504,83.505,0.92965,176.94
12.5,3196.2,473.08,0.85481,-0.25215,295.81,92.814,85.813,1.6815,111.72
13,3230.8,446.2,0.82942,-0.12904,295.57,94.124,88.118,2.4339,186.02
13.5,3252.3,419.33,0.99264,-0.082167,295.48,94.407,84.005,4.1972,228.67
14,3223.3,432.46,1.1559,-0.035183,295.39,94.688,79.894,5.9589,306.75
14.5,3213.6,445.6,1.5019,0.21755,295.38,93.651,79.812,4.7585,357.67
15,3169.8,408.14,1.8472,0.4703,295.36,92.614,79.73,3.5581,284.12
